"";"sku";"sociability";"precio";"category";"apariciones";"media_repe";"total_vendido"
"81";"AP20144";0,176470588235294;138,265;"accessories";40;1,05;42
"82";"AP20150";0,333333333333333;1214,39882352941;"pc";17;1,76470588235294;30
"83";"AP20152";0,5;1990,85;"pc";7;1;7
"84";"AP20153";0,142857142857143;446,430909090909;"pc";33;1;33
"85";"AP20164";0,333333333333333;784,331904761905;"smartphone";21;1,04761904761905;22
"86";"AP20168";0,727272727272727;584,524520547945;"smartphone";73;1,01369863013699;74
"87";"AP20169";1;766,544615384615;"smartphone";13;1;13
"88";"AP20172";0,5;696,210526315789;"smartphone";57;1;57
"89";"AP20174";0,2;689,699285714286;"smartphone";42;1,04761904761905;44
"90";"AP20178";0,5;477,578461538462;"smartphone";13;1;13
"91";"AP20181";0,5;432,539166666667;"smartphone";12;1;12
"92";"AP20185";1;478,206666666667;"tablet";3;1;3
"93";"AP20186";0,5;49,0971428571429;"accessories";14;1;14
"94";"AP20188";1;508,086;"smartphone";10;1;10
"95";"AP20192";2;38,27;"other";4;1;4
"96";"AP20193";1;79,99;"accessories";3;1;3
"97";"AP20194";1;35,83375;"accessories";8;1;8
"98";"AP20201";1;36,5275;"accessories";4;1;4
"99";"AP20203";1;38,6566666666667;"accessories";3;1;3
"100";"AP20215";1;324;"smartwhatch";2;1;2
"101";"AP20218";2;437,948333333333;"tablet";6;1;6
"102";"AP20219";2;334,779166666667;"tablet";12;1;12
"103";"AP20227";1;769,5175;"pc";8;1;8
"104";"AP20232";0,5;944,491666666667;"laptop";6;1;6
"105";"AP20233";1;1702,89666666667;"laptop";6;1;6
"106";"AP20234";1;2005,59;"laptop";3;1;3
"107";"AP20238";1;2154,272;"laptop";5;1;5
"108";"AP20254";0,583333333333333;663,444949494949;"smartphone";99;1,05050505050505;104
"109";"AP20255";0,142857142857143;677,922;"smartphone";35;1;35
"110";"AP20258";0,125;767,414210526316;"smartphone";152;1,02631578947368;156
"111";"AP20265";0,5;32,165;"accessories";4;1;4
"112";"AP20266";0,5;29,5952631578947;"accessories";19;1;19
"113";"AP20273";0,6;43,7368421052632;"accessories";19;1;19
"114";"AP20279";2;40,7369230769231;"other";13;1,07692307692308;14
"115";"AP20280";0,333333333333333;42,0229411764706;"other";17;1;17
"116";"AP20281";0,5;41,4418181818182;"other";11;1;11
"117";"AP20282";0,5;120,632857142857;"other";7;1;7
"118";"AP20283";0,666666666666667;121,54;"other";9;1,44444444444444;13
"119";"AP20287";1;59,99;"accessories";3;1;3
"120";"AP20299";0,333333333333333;303,9725;"smartphone";8;1;8
"121";"AP20302";0,5;407,992666666667;"smartphone";15;1;15
"122";"AP20305";0,163636363636364;325,850224215247;"smartphone";223;1,04932735426009;234
"123";"AP20315";0,0833333333333333;555,7471875;"smartphone";64;1,03125;66
"124";"AP20318";0,25;679,94947368421;"smartphone";38;1,02631578947368;39
"125";"AP20321";1;854,252;"smartphone";10;1;10
"126";"AP20322";2;869,587;"smartphone";10;1;10
"127";"AP20356";2,5;17,9866666666667;"accessories";15;1,06666666666667;16
"128";"AP20359";0,333333333333333;286,696071428571;"smartphone";28;1,03571428571429;29
"129";"AP20379";1;408,78;"tablet";3;1;3
"130";"AP20381";0,2;318,393571428571;"tablet";14;1;14
"131";"AP20382";1;331,457777777778;"tablet";9;1,44444444444444;13
"132";"AP20383";1;283,143333333333;"tablet";3;1;3
"133";"AP20413";0,2;699;"smartphone";13;1;13
"134";"AP20414";0,333333333333333;799;"smartphone";14;1;14
"135";"AP20433";1;1735,6;"pc";8;1;8
"136";"AP20438";0,666666666666667;799;"smartphone";19;1;19
"137";"AP20455";1;2225,66;"laptop";9;1;9
"138";"APP0017";1,77142857142857;55,3776049382716;"accessories";405;1,13086419753086;458
"139";"APP0019";2;57,0732258064516;"accessories";62;1,14516129032258;71
"140";"APP0066";1,33333333333333;23,7317391304348;"accessories";23;1,04347826086957;24
"141";"APP0094";0,818181818181818;32,8821794871795;"accessories";78;1,14102564102564;89
"142";"APP0095";2,5;33,0782142857143;"accessories";28;1,21428571428571;34
"143";"APP0105";0,777777777777778;32,4230188679245;"accessories";53;1,28301886792453;68
"144";"APP0150";1,5;84,388;"accessories";20;1;20
"145";"APP0200";0,314285714285714;82,8710344827586;"accessories";174;1,01149425287356;176
"146";"APP0241";0,28;82,9214583333333;"accessories";96;1,01041666666667;97
"147";"APP0274";5;23,5096296296296;"accessories";27;1,14814814814815;31
"148";"APP0337";6;41,5927848101266;"accessories";79;1,0379746835443;82
"149";"APP0361";0,333333333333333;110,118125;"accessories";16;1,125;18
